"region","år",Förvärvsarbetande 16+ år med bostad i regionen (nattbefolkning) (RAMS)
"0665 Vaggeryd","2009",6180
"0665 Vaggeryd","2010",6479
"0665 Vaggeryd","2011",6713
"0665 Vaggeryd","2012",6713
"0665 Vaggeryd","2013",6724
"0665 Vaggeryd","2014",6677
"0665 Vaggeryd","2015",6786
"0665 Vaggeryd","2016",6938
"0665 Vaggeryd","2017",7153
"0680 Jönköping","2008",61712
"0680 Jönköping","2009",59861
"0680 Jönköping","2010",61989
"0680 Jönköping","2011",63515
"0680 Jönköping","2012",64145
"0680 Jönköping","2013",64472
"0680 Jönköping","2014",65181
"0680 Jönköping","2015",66545
"0680 Jönköping","2016",68201
"0680 Jönköping","2017",69866
"0682 Nässjö","2008",14089
"0682 Nässjö","2009",13412
"0682 Nässjö","2010",13571
"0682 Nässjö","2011",13826
"0682 Nässjö","2012",13848
"0682 Nässjö","2013",13768
"0682 Nässjö","2014",13871
"0682 Nässjö","2015",14137
"0682 Nässjö","2016",14556
"0682 Nässjö","2017",14839
"0683 Värnamo","2008",17132
"0683 Värnamo","2009",15817
"0683 Värnamo","2010",16293
"0683 Värnamo","2011",16810
"0683 Värnamo","2012",16857
"0683 Värnamo","2013",16854
"0683 Värnamo","2014",17005
"0683 Värnamo","2015",17150
"0683 Värnamo","2016",17476
"0683 Värnamo","2017",17758
"0684 Sävsjö","2008",5173
"0684 Sävsjö","2009",4899
"0684 Sävsjö","2010",5040
"0684 Sävsjö","2011",5284
"0684 Sävsjö","2012",5232
"0684 Sävsjö","2013",5221
"0684 Sävsjö","2014",5186
"0684 Sävsjö","2015",5278
"0684 Sävsjö","2016",5395
"0684 Sävsjö","2017",5471
"0685 Vetlanda","2008",13111
"0685 Vetlanda","2009",12405
"0685 Vetlanda","2010",12735
"0685 Vetlanda","2011",12939
"0685 Vetlanda","2012",12938
"0685 Vetlanda","2013",12927
"0685 Vetlanda","2014",13033
"0685 Vetlanda","2015",13051
"0685 Vetlanda","2016",13397
"0685 Vetlanda","2017",13525
"0686 Eksjö","2008",8012
"0686 Eksjö","2009",7731
"0686 Eksjö","2010",7810
"0686 Eksjö","2011",7984
"0686 Eksjö","2012",7968
"0686 Eksjö","2013",7978
"0686 Eksjö","2014",8003
"0686 Eksjö","2015",8089
"0686 Eksjö","2016",8231
"0686 Eksjö","2017",8269
"0687 Tranås","2008",8350
"0687 Tranås","2009",7854
"0687 Tranås","2010",8020
"0687 Tranås","2011",8091
"0687 Tranås","2012",8136
"0687 Tranås","2013",8152
"0687 Tranås","2014",8191
"0687 Tranås","2015",8299
"0687 Tranås","2016",8487
"0687 Tranås","2017",8547
"0760 Uppvidinge","2008",4508
"0760 Uppvidinge","2009",4235
"0760 Uppvidinge","2010",4293
"0760 Uppvidinge","2011",4407
"0760 Uppvidinge","2012",4324
"0760 Uppvidinge","2013",4311
"0760 Uppvidinge","2014",4334
"0760 Uppvidinge","2015",4389
"0760 Uppvidinge","2016",4511
"0760 Uppvidinge","2017",4597
"0761 Lessebo","2008",3762
"0761 Lessebo","2009",3608
"0761 Lessebo","2010",3571
"0761 Lessebo","2011",3639
"0761 Lessebo","2012",3593
"0761 Lessebo","2013",3496
"0761 Lessebo","2014",3464
"0761 Lessebo","2015",3500
"0761 Lessebo","2016",3601
"0761 Lessebo","2017",3681
"0763 Tingsryd","2008",5853
"0763 Tingsryd","2009",5569
"0763 Tingsryd","2010",5590
"0763 Tingsryd","2011",5796
"0763 Tingsryd","2012",5744
"0763 Tingsryd","2013",5699
"0763 Tingsryd","2014",5687
"0763 Tingsryd","2015",5636
"0763 Tingsryd","2016",5703
"0763 Tingsryd","2017",5819
"0764 Alvesta","2008",9325
"0764 Alvesta","2009",8897
"0764 Alvesta","2010",8977
"0764 Alvesta","2011",9169
"0764 Alvesta","2012",9188
"0764 Alvesta","2013",9137
"0764 Alvesta","2014",9155
"0764 Alvesta","2015",9150
"0764 Alvesta","2016",9321
"0764 Alvesta","2017",9438
"0765 Älmhult","2008",7728
"0765 Älmhult","2009",7506
"0765 Älmhult","2010",7629
"0765 Älmhult","2011",7829
"0765 Älmhult","2012",7855
"0765 Älmhult","2013",7813
"0765 Älmhult","2014",7879
"0765 Älmhult","2015",7959
"0765 Älmhult","2016",8107
"0765 Älmhult","2017",8273
"0767 Markaryd","2008",4434
"0767 Markaryd","2009",4163
"0767 Markaryd","2010",4262
"0767 Markaryd","2011",4313
"0767 Markaryd","2012",4300
"0767 Markaryd","2013",4283
"0767 Markaryd","2014",4296
"0767 Markaryd","2015",4344
"0767 Markaryd","2016",4435
"0767 Markaryd","2017",4574
"0780 Växjö","2008",40667
"0780 Växjö","2009",38845
"0780 Växjö","2010",39877
"0780 Växjö","2011",40928
"0780 Växjö","2012",41394
"0780 Växjö","2013",41644
"0780 Växjö","2014",41887
"0780 Växjö","2015",42670
"0780 Växjö","2016",43748
"0780 Växjö","2017",45021
"0781 Ljungby","2008",13977
"0781 Ljungby","2009",13267
"0781 Ljungby","2010",13422
"0781 Ljungby","2011",13845
"0781 Ljungby","2012",13840
"0781 Ljungby","2013",13653
"0781 Ljungby","2014",13758
"0781 Ljungby","2015",13816
"0781 Ljungby","2016",14032
"0781 Ljungby","2017",14143
"0821 Högsby","2008",2524
"0821 Högsby","2009",2377
"0821 Högsby","2010",2403
"0821 Högsby","2011",2454
"0821 Högsby","2012",2452
"0821 Högsby","2013",2417
"0821 Högsby","2014",2451
"0821 Högsby","2015",2448
"0821 Högsby","2016",2495
"0821 Högsby","2017",2532
"0834 Torsås","2008",3210
"0834 Torsås","2009",3012
"0834 Torsås","2010",3045
"0834 Torsås","2011",3142
"0834 Torsås","2012",3116
"0834 Torsås","2013",3151
"0834 Torsås","2014",3179
"0834 Torsås","2015",3154
"0834 Torsås","2016",3166
"0834 Torsås","2017",3213
"0840 Mörbylånga","2008",6570
"0840 Mörbylånga","2009",6514
"0840 Mörbylånga","2010",6719
"0840 Mörbylånga","2011",6861
"0840 Mörbylånga","2012",6903
"0840 Mörbylånga","2013",6949
"0840 Mörbylånga","2014",6993
"0840 Mörbylånga","2015",6986
"0840 Mörbylånga","2016",7079
"0840 Mörbylånga","2017",7124
"0860 Hultsfred","2008",6124
"0860 Hultsfred","2009",5734
"0860 Hultsfred","2010",5978
"0860 Hultsfred","2011",6035
"0860 Hultsfred","2012",6008
"0860 Hultsfred","2013",6032
"0860 Hultsfred","2014",6070
"0860 Hultsfred","2015",6053
